epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7269275784492493,9.999999747378752e-06,0.6674756407737732,0.7843023538589478,0.6700670123100281
1,0.7620797157287598,9.999999747378752e-06,0.5566595792770386,0.7970930337905884,0.5623685121536255
2,0.782840371131897,9.999999747378752e-06,0.5087560415267944,0.8026162981987,0.5310053825378418
3,0.7895768284797668,9.999999747378752e-06,0.48988327383995056,0.8011627793312073,0.5228866338729858
4,0.7972931861877441,9.999999747378752e-06,0.4672490358352661,0.8040697574615479,0.5144346952438354
5,0.8096637725830078,9.999999747378752e-06,0.42794278264045715,0.8113372325897217,0.5009608268737793
6,0.8186049461364746,9.999999747378752e-06,0.414716511964798,0.8113372325897217,0.4994454085826874
7,0.8205034136772156,9.999999747378752e-06,0.40789419412612915,0.8159883618354797,0.4931844174861908
8,0.8228917717933655,9.999999747378752e-06,0.392932265996933,0.815116286277771,0.4844464957714081
9,0.8285871744155884,9.999999747378752e-06,0.38087227940559387,0.8183139562606812,0.4832172691822052
10,0.8413252234458923,9.999999747378752e-06,0.3556082844734192,0.8191860318183899,0.4818292260169983
11,0.8374670743942261,9.999999747378752e-06,0.36097878217697144,0.8238372206687927,0.47404399514198303
12,0.8417539596557617,9.999999747378752e-06,0.34918588399887085,0.820348858833313,0.4738923907279968
13,0.8497764468193054,9.999999747378752e-06,0.33081701397895813,0.817732572555542,0.4705643355846405
14,0.8497764468193054,9.999999747378752e-06,0.3326415419578552,0.8200581669807434,0.4688676595687866
15,0.8492252826690674,9.999999747378752e-06,0.3234698474407196,0.8293604850769043,0.46129775047302246
16,0.8577377796173096,9.999999747378752e-06,0.30853962898254395,0.8284883499145508,0.46254822611808777
17,0.8576152920722961,9.999999747378752e-06,0.31249159574508667,0.8343023061752319,0.4538475573062897
18,0.8590850830078125,9.999999747378752e-06,0.3035573661327362,0.8337209224700928,0.4529557228088379
19,0.868699848651886,9.999999747378752e-06,0.2929162383079529,0.8340116143226624,0.45122215151786804
